transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
1002055_xfmr_a,1,182007.1,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1002055_xfmr_a,2,x_1002055.1,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1002055_xfmr_b,1,182007.2,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1002055_xfmr_b,2,x_1002055.2,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1002055_xfmr_c,1,182007.3,wye,7.19956121359083,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1002055_xfmr_c,2,x_1002055.3,wye,0.24,25,1,0.005500000000000001,-1,0,1.1,0.9,32
1000918_xfmr_c,1,182018.3,wye,7.19956121359083,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1000918_xfmr_c,2,x_1000918.3,wye,0.24,10,1,0.006500000000000001,-1,0,1.1,0.9,32
1000538_xfmr_a,1,182019.1,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000538_xfmr_a,2,x_1000538.1,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000538_xfmr_b,1,182019.2,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000538_xfmr_b,2,x_1000538.2,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000538_xfmr_c,1,182019.3,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000538_xfmr_c,2,x_1000538.3,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000087_xfmr_a,1,182020.1,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000087_xfmr_a,2,x_1000087.1,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000087_xfmr_b,1,182020.2,wye,7.19956121359083,15,1,0.006500000000000001,-1,0,1.1,0.9,32
1000087_xfmr_b,2,x_1000087.2,wye,0.24,15,1,0.006500000000000001,-1,0,1.1,0.9,32
